Sanskrit Word,Transliteration,Meaning,Page Number
अर्थोपाजंनाय,arthopaarjanaaya,for earning maney,18
अधेगोल,ardhagola,semicircle dome,18
अधेचन्द्रासन,ardhachandraasana,the half  moon posture,18
अधनवासन,ardhanavaasana,the half boat posture,18
अधेनारीनटेखर,ardhanaariinaTeshvara,Shiva and his Shakti united as one,18
अर्धनारीश्वर,ardhanaariishvara,Shiva and his Shakti united as one,18
अधेनिचोलः,ardhanicholaH,frock,18
अधैपदययासन,ardhapadmaasana,the half lotus posture,18
अधेमत्स्येन्द्रासन,ardhamatsyendraasana,the half spinal twist posture,18
अर्धशिर्षासन,ardhashirshhaasana,the half headstand posture,18
अधसवाँङ्गासन,ardhasarvaa.ngaasana,the half shoulderstand posture,19
अर्धोरुक,ardhoruka,half pant,19
अर्धोरुकम्‌,ardhorukam.h,half pant  or shorts,19
अपण,arpaNa,Offer,19
अपणं,arpaNaM,contribution,19
अपित,arpita,surrendering,19
अयेमा,aryamaa,Aryama,19
अहता,arhataa,qualification,19
अर्हति,arhati,to deserve,19
अलं,alaM,especially,19
अलंकारदीप्तं,ala.nkaaradiiptaM,shining with adornments or decorations,19
अलब्धभूमिकत्व,alabdhabhuumikatva,the feeling that it is impossible to see reality,19
अलभ्य,alabhya,Difficult,19
अलसः,alasaH,lazy,19
अलस्य,alasya,indolence,19
अलक्षमान,alakShamaana,one who disregards,19
अलक्षिमिः,alakShmiH,poverty ,19
अलीक,aliika,false or untrue,19
अलोलुप्त्वं,aloluptvaM,freedom from greed,19
अल्प,alpa,small or little,19
अल्पं,alpaM,a few or little or inadequate,19
अल्पधी,alpadhii,mental deficiency,19
अल्पबुद्धयः,alpabuddhayaH,the less intelligent,19
अल्पमेधसां,alpamedhasaaM,of those of small intelligence,19
अल्पवयस्कं,alpavayaskaM,young  age,19
अल्पायु,alpaayu,Short life between 8 and 32 years,19
अव,ava,prrotect,19
अवकरिका,avakarikaa, dustbin or garbage bin,19
अवकलन,avakalana,differentiation,19
अवगच्छ,avagachchha,must know,19
अवगम्‌,avagam.h,to comprehend or understand,19
अवगमं,avagamaM,understood,19
अवग्रह,avagraha,famine,19
अवचय,avachaya,gathering or collection,19
अवचिनोति,avachinoti,to pluck,19
अवच्यः,avachyaH,unblamable,19
अवजानन्ति,avajaananti,deride,19
अवतार,avataara,a divine incarnation particularly of Vishnu example Buddha,19
अवतारयति,avataarayati,to keep down or to get down,20
अवति,avati,to protect,20
अवतिष्ठति,avatishhThati,remains,20
अवतिष्ठते,avatishhThate,becomes established,20
अवतु,avatu,protect,20
अवधीरणा,avadhiiraNaa,a repulse or repulsion,20
अवध्यः,avadhyaH,cannot be killed,20
अवन,avana,protection,20
अवनिं,avaniM,earth,20
अवनिपाल,avanipaala,of warrior kings,20
अवनीतन्य,avaniitanya,the daughter of the Earth as siita,20
अवयव,avayava,part,20
अवरं,avaraM,abominable,20
अवरुद्धवेग,avaruddhavega,retardation,20
अवरूणद्धि,avaruuNaddhi,to obstruct,20
अवरोहति,avarohati,to descend,20
अवलिप्त,avalipta,proud or haughty,20
अवलेहः,avalehaH, pickle,20
अवशः,avashaH,helplessly,20
अवशिष्यते,avashishhyate,remains,20
अवशोषण,avashoshhaNa,absorption,20
अवष्टभ्य,avashhTabhya,entering into,20
अवसं,avasaM,automatically,20
अवसन्‌,avasan.h, imperfect of vas or to live,20
अवसन्नाः,avasannaaH,inadequate,20
अवसरः,avasaraH, opportunity or chance,20
अवसपंति,avasarpati,to slide  as from a waterslide,20
अवसादयेत्‌,avasaadayet.h,put into degradation,20
अवस्था,avasthaa,a state of the mind,20
अवस्थात्रयः,avasthaatrayaH,three states of bodily consciousness  or awake or sleep or dream ,20
अवस्थितं,avasthitaM,situated,20
अवस्थितः,avasthitaH,situated,20
अवस्थिताः,avasthitaaH,situated,20
अवस्थितान्‌,avasthitaan.h,arrayed on the battlefield,20
अवहासार्थं,avahaasaarthaM,for joking,20
अवज्ञा,avaGYaa,contempt,20
अवज्ञातं,avaGYaataM,without proper attention,20
अवाची,avaachii,south,20
अवाच्य,avaachya,unkind,20
अवाप्तव्यं,avaaptavyaM,to be gained,20
अवाप्य,avaapya,achieving,21
अवाप्यते,avaapyate,is achieved,21
अवाप्स्यथ,avaapsyatha,you will achieve,21
अवाप्स्यसि,avaapsyasi,will gain,21
अविकल्पेन,avikalpena,without division,21
अविकारः,avikaaryaH,unchangeable,21
अविचारी,avichaarii, thoughtless,21
अविदित,avidita,without knowledge or unknowingly,21
अविद्शः,avidushaH,of one who does not know,21
अविद्या,avidyaa,metaphysical ignorance,21
अविद्वांसः,avidvaa.nsaH,the ignorant,21
अविधिपूर्वकं,avidhipuurvakaM,in a wrong way,21
अविनश्यन्तं,avinashyantaM,not destroyed,21
अविनाश,avinaasha,undestructible or  name of Vishnu,21
अविनाशि,avinaashi,imperishable,21
अविनाशिनं,avinaashinaM,indestructible,21
अविपञितः,avipashchitaH,men with a poor fund of knowledge,21
अविभक्तं,avibhaktaM,without division,21
अविरति,avirati,sensuality,21
अविरोध,avirodha,no opposition,21
अविज्ञेयं,aviGYeyaM,unknowable,21
अवेक्षे,avekShe,let me see,21
अवेक्ष्य,avekShya,considering,21
अवैध,avaidha, illegal,21
अव्यक्त,avyakta,nonmanifested,21
अव्यक्तः,avyaktaH,invisible,21
अव्यक्तमूर्तिना,avyaktamuurtinaa,by the unmanifested form,21
अव्यक्ता,avyaktaa,toward the unmanifested,21
अव्यक्तात्‌,avyaktaat.h,to the unmanifest,21
अव्यक्तादीनि,avyaktaadiini,in the beginning unmanifested,21
अव्यभिचारिणी,avyabhichaariNii,without any break,21
अव्यभिचारिण्या,avyabhichaariNyaa,without any break,21
अव्यभिचारेण,avyabhichaareNa,without fail,21
अव्यय,avyaya,without deterioration,21
अव्ययं,avyayaM,immutable,21
अव्ययः,avyayaH,inexhaustible,21
अव्ययवर्गः,avyayavargaH,the class of indeclinable words,21
अव्ययस्य,avyayasya,of the imperishable,21
अव्ययीभाव,avyayiibhaava,indeclinable affixes,21
अव्यवसायिनां,avyavasaayinaaM,of those who are not in KRishhNa consciousness,21
अव्याकृता,avyaakRitaa,not expressed,21
अव्याहताज्ञः,avyaahataaGYaH, not feeling the hit,22
अश्‌,ash.h,to obtain or  accomplish,22
अशंक,asha.nka,undaunted,22
अशक्त,ashakta,weak,22
अशक्तः,ashaktaH,unable,22
अशन,ashana,food,22
अशमः,ashamaH,uncontrollable,22
अशयात्‌,ashayaat.h,from their source,22
अशस्त्रं,ashastraM,without being fully equipped,22
अशान्तस्य,ashaantasya,of the unpeaceful,22
अशाश्वतं,ashaashvataM,temporary,22
अशास्त्र,ashaastra,not in the scriptures,22
अशिष्य,ashishhya,unteachable ,22
अशिष्याय,ashishhyaaya,non disciple that is non believer,22
अशुचि,ashuchi,to the unclean,22
अशुचिः,ashuchiH,unclean,22
अशुचौ,ashuchau,unclean,22
अशुभ,ashubha,and inauspicious,22
अशुभं,ashubhaM,evil,22
अशुभात्‌,ashubhaat.h,from ill fortune,22
अशुभान्‌,ashubhaan.h,inauspicious,22
अशुश्रूषवे,ashushruushhave,to one who is not engaged in devotional service,22
अशेष,asheshha,total,22
अशेषतः,asheshhataH,completely,22
अशेषाणि,asheshhaaNi,all,22
अशेषेण,asheshheNa,in detail,22
अशोच्यान्‌,ashochyaan.h,not worthy of lamentation,22
अशोष्यः,ashoshhyaH,not able to be dried,22
अश्नतः,ashnataH,of one who eats,22
अङ्नन्‌,ashnan.h,eating,22
अश्नन्ति,ashnanti,enjoy,22
अश्नामि,ashnaami,accept,22
अश्नासि,ashnaasi,you eat,22
अश्नुते,ashnute,achieves,22
अङ्म,ashma,stone,22
अश्मन्‌,ashman.h, stone,22
अश्रह्‌घानः,ashraddadhaanaH,without faith in revealed scriptures,22
अश्रह्‌धानाः,ashraddadhaanaaH,those who are faithless,22
अश्रद्धया,ashraddhayaa,without faith,22
अश्रूपूणांकृल,ashruupuurNaakula,full of tears,22
अश्रौषं,ashraushhaM,have heard,22
अश्लाघ्य,ashlaaghya, virtueless,22
अश्च,ashva,a horse,23
अश्वत्थं,ashvatthaM,a banyan tree,23
अश्वत्थः,ashvatthaH,the banyan tree,23
अश्वत्थामा,ashvatthaamaa,Asvatthama,23
अश्वमेध,ashvamedha,a form of sacrifice where a horse is sent around to estiblish supremacy,23
अश्वानां,ashvaanaaM,among horses,23
अश्विनौ,ashvinau,the two Asvinis,23
अष्ट,ashhTa,eight,23
अष्टदलकमलबन्ध,ashhTadalakamalabandha,eight petalled lotus pattern or  a form of bandha,23
अष्टधा,ashhTadhaa,eightfold,23
अष्टादश,ashhTaadasha,eighteen,23
अष्टावक्र,ashhTaavakra,name of a deformed sage,23
अष्टोत्तरीदशा,ashhTottariidashaa,A lunar based Dasha system uses 108 year cycle and one,23
अष्टौ,ashhTau,eight,23
अष्ठकवगं,ashhtakavarga,A predictive method of Astrology that uses a system of points based upon paneatary position,23
असंन्यस्त,asa.nnyasta,without giving up,23
असंयता,asa.nyataa,unbridled,23
असंशयं,asa.nshayaM,undoubtedly,23
असंशयः,asa.nshayaH,beyond a doubt,23
असक्त,asakta,unattached,23
असक्तं,asaktaM,without attraction,23
असक्तः,asaktaH,without attachment,23
असक्तबुद्धिः,asaktabuddhiH,having unattached intelligence,23
असक्तात्मा,asaktaatmaa,one who is not attached,23
असक्तिः,asaktiH,being without attachment,23
असङखयः,asa.nkhyaH,countless,23
असत्‌,asat.h,matter,23
असतः,asataH,of the nonexistent,23
असत्कृतं,asatkRitaM,without respect,23
असत्कृतः,asatkRitaH,dishonoured,23
असत्यं,asatyaM,unreal,23
असदषी,asadRishhii,unfit,23
असपत्नं,asapatnaM,without rival,23
असमर्थः,asamarthaH,unable,23
असम्प्रज्ञात,asampraG Yaata,unconscious samadhi,23
असम्मूढः,asammuuDhaH,undeluded,23
असम्मूढाः,asammuuDhaaH,unbewildered,23
असम्मोहः,asammohaH,freedom from doubt,23
असारं,asaaraM,worthless or without essence,24
असावादित्यः,asaavaadityaH, this or person  and Sun,24
असि,asi,you are,24
असितः,asitaH,Asita,24
असिद्ध्योः,asid.hdhyoH,and failure,24
असिद्धौ,asiddhau,failure,24
असुखं,asukhaM,full of miseries,24
असुर,asura,devil,24
असुराणां,asuraaNaaM,of demons,24
असुरान्‌,asuraan.h,demons,24
असू,asuu,to hate or be jealous,24
असून्‌,asuun.h,life,24
असूया,asuuyaa,envy,24
असृष्टान्नं,asRishhTaannaM,without distribution of prasaadam,24
